structure_type,patch_size,batch_size,ret_channels,vvs_layers,dropout,val_acc
RetinaVVS,NaN,32,16,3,0,0.652755558490753
RetinaVVS,NaN,32,32,4,0,0.659644544124603
RetinaVVS,NaN,32,64,5,0,0.6737220287323
SIFT_Retina,8,32,16,3,0,0.664037525653839
SIFT_Retina,16,32,16,3,0,0.672723650932312
SIFT_Retina,32,32,16,3,0,0.663039147853851
SIFT_Retina,8,32,32,4,0,0.707368195056915
SIFT_Retina,16,32,32,4,0,0.68909740447998
SIFT_Retina,32,32,32,4,0,0.646565496921539
SIFT_Retina,8,32,64,5,0,0.674620568752288
SIFT_Retina,16,32,64,5,0,0.679512739181518
SIFT_Retina,32,32,64,5,0,0.670726835727691
SIFT_VVS,8,32,16,3,0,0.424121409654617
SIFT_VVS,16,32,16,3,0,0.602136552333831
SIFT_VVS,32,32,16,3,0,0.620307505130767
SIFT_VVS,8,32,32,4,0,0.104932107031345
SIFT_VVS,16,32,32,4,0,0.102136582136154
SIFT_VVS,32,32,32,4,0,0.104732424020767
SIFT_VVS,8,32,64,5,0,0.473342657089233
SIFT_VVS,16,32,64,5,0,0.523262798786163
SIFT_VVS,32,32,64,5,0,0.421226024627685
SIFT_Retina&VVS,8,32,16,3,0,0.524261176586151
SIFT_Retina&VVS,16,32,16,3,0,0.611721217632293
SIFT_Retina&VVS,32,32,16,3,0,0.104233227670192
SIFT_Retina&VVS,8,32,32,4,0,0.101637378334999
SIFT_Retina&VVS,16,32,32,4,0,0.593550324440002
SIFT_Retina&VVS,32,32,32,4,0,0.638178884983062
SIFT_Retina&VVS,8,32,64,5,0,0.101936899125576
SIFT_Retina&VVS,16,32,64,5,0,0.625698864459991
SIFT_Retina&VVS,32,32,64,5,0,0.627595841884613
